Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2], label
179581342892607,-0.11749077,-0.11705888,0.0828095,12.261082,0.08858817,3.0383348,3
179581362892607,-0.1272646,0.15660875,-0.0051550916,6.9314256,-0.6273,-4.1564612,3
179581382892607,-0.103440866,0.07719626,0.02538817,10.273833,0.71588814,3.1412885,3
179581402892607,-0.13031894,0.17249124,-0.04119614,7.3815494,-0.34956414,-2.2266755,3
179581422892607,-0.07717366,0.0014489724,0.0828095,9.953,-0.37111259,3.6225379,3
179581442892307,-0.12176682,-0.0535289,-0.038752683,8.291373,0.33519846,-2.2099156,3
179581462892307,-0.0747302,-0.0535289,0.04737932,9.42626,-0.505192,2.4948344,3
179581482892307,-0.09855395,0.013666277,0.026609901,9.368797,-0.17717634,-2.2601955,3
179581502892307,-0.0765628,0.019164065,-0.011263744,9.672871,0.3328042,3.083826,3
179581522892307,-0.09611048,0.07047675,-0.040585276,9.256267,0.05985687,-0.6488485,3
179581542892307,-0.058847703,0.013055412,0.054709703,8.909097,0.0071828244,2.0854135,3
179581562892307,-0.08267145,0.04298781,-0.03997441,10.144543,-0.08140534,-1.6688095,3
179581582892307,-0.052128185,-0.08468303,0.03332942,8.861211,-0.026337024,0.91700727,3
179581602892307,-0.06984328,-0.0694114,-0.014928936,10.041589,-0.35914123,-2.667222,3
179581622892307,-0.039910883,-0.024207368,0.05348797,9.711179,0.011971374,1.3671309,3
179581642892307,-0.05823684,0.05153992,-0.06257642,8.657698,-0.09337672,-1.7933118,3
179581662892307,-0.039910883,0.0020598376,0.012560001,9.3831625,-0.11013664,3.2514253,3
179581682892307,-0.031358767,0.002670703,0.044324994,10.029617,-0.38787252,-3.3160706,3
179581702892307,-0.031969633,-0.16714984,0.03210769,8.267431,1.0965779,2.0399222,3
179581722892307,-0.039300013,0.022829257,-0.07051767,10.465375,-1.472479,-2.7821474,3
179581742892307,0.0071257427,-0.10606331,0.17138496,9.984126,0.31365,1.6759924,3
179581762892307,-0.039300013,0.11262645,-0.093730554,9.150918,0.4860378,-3.1772027,3
179581782892307,-0.002648101,-0.041311596,0.05165538,7.7933645,0.37590113,2.3296294,3
179581802892307,-0.01791973,0.11506991,-0.02225932,9.1940155,-1.1492519,-2.727079,3
179581822892307,0.022397375,-0.030316021,0.13106786,10.178062,0.11253092,0.54828894,3
179581842892640,-0.0069241575,-0.021153042,-0.04425047,7.039168,0.45730647,-3.5578923,3
179581862892640,0.0071257427,-0.07490918,0.020501249,9.237112,-0.29928434,1.0462981,3
179581882892640,0.017510451,0.12606548,0.044324994,8.652909,-0.5363176,-2.1883671,3
179581902892640,0.022397375,0.04787473,0.050433647,7.886741,-0.09577099,1.7789462,3
179581922892640,0.0071257427,0.12484375,-0.04791566,7.5467544,0.27055305,-0.4956149,3
179581942892340,0.030949488,0.078417994,0.038827207,5.2578273,-0.85236186,0.749408,3
179581962892340,0.01384526,0.014888008,0.0076730787,12.680079,1.1300977,-0.98404694,3
179581982892340,0.04255593,-0.0028270844,0.033940285,9.929058,-0.14365649,-0.3040729,3
179582002892340,0.0052931476,0.031992234,-0.022870185,3.9984388,-1.3407938,0.32083282,3
179582022892340,0.052940637,-0.0077140066,0.0724248,9.70639,1.4581133,1.4150164,3
179582042892340,0.02178651,0.0906353,-0.079069786,13.530047,-0.9026416,-1.6975409,3
179582062892340,0.041334197,-0.1714259,0.058374893,7.2522583,-0.749408,-1.7190893,3
179582082892340,0.03461468,0.10102,0.040048935,7.7478733,0.9289786,1.158829,3
179582102892340,0.027284296,0.10407434,-0.09250882,7.953781,0.36871833,0.69912827,3
179582122892340,0.02056478,0.014888008,-0.03997441,9.031204,-0.723071,2.578634,3
179582142892340,0.05477323,-0.055972364,0.106633246,10.635368,-2.3128695,-5.0854397,3
179582162892340,0.05232977,-0.17570195,0.13656564,6.56989,4.166038,-0.74701375,3
179582182892340,-0.019752327,-0.020542176,-0.29898125,16.467823,-0.7805336,-2.2242813,3
179582202892340,0.06149275,-0.037035536,0.15611333,9.273026,-0.66321415,1.0127783,3
179582222892340,0.03217122,0.093078755,0.05532057,5.4924664,1.3144568,0.57462597,3
179582242892340,0.02056478,-0.0028270844,-0.113889106,17.8565,1.3264283,-0.84039044,3
179582262892340,0.030949488,-0.012600929,0.026609901,10.544386,1.3934679,-2.5929997,3
179582282892340,0.023619104,-0.05475063,-0.028367972,5.6959796,-1.1300977,-1.7119064,3
179582302892340,0.021175643,-0.1640955,0.06998133,11.332103,1.7669748,-4.4916596,3
179582322892340,0.052940637,-0.06635707,0.03210769,9.574705,-0.9313729,-1.0439038,3
179582342892640,-0.026471846,0.042376947,-0.14137803,9.584282,-0.9696813,-2.6193366,3
179582362892640,0.099977255,-0.13355225,0.2691234,9.909904,4.5060253,-2.423006,3
179582382892640,-0.030137038,0.21952786,-0.30081388,12.107848,-4.4270144,-0.7805336,3
179582402892640,0.018121317,-0.18486492,0.07853345,9.859624,1.403045,2.3392065,3
179582422892640,0.10180985,0.11384817,0.29477975,9.828498,3.2442424,-3.1077688,3
179582442892306,0.07248833,-0.27282953,0.34731415,17.557217,-4.1181526,-1.4533248,3
179582462892306,0.03827987,0.29405344,-0.04486133,5.0160055,5.2482505,3.380716,3
179582482892306,-0.079006255,-0.23556674,-0.31913984,11.894757,-2.152453,-5.621757,3
179582502892306,0.1415161,-0.107285045,0.5049174,13.1517515,-0.7709565,-0.46209505,3
179582522892306,-0.05151732,0.28672305,-0.31852895,4.790944,2.9641123,1.4796618,3
179582542892306,-0.020363193,-0.28810117,-0.053413443,17.31779,-0.36632404,-2.403852,3
179582562892306,0.060881887,0.33803573,0.15244813,12.653743,2.9066496,1.7669748,3
179582582892306,-0.031358767,-0.055972364,-0.066241615,6.8691745,-1.8627458,-6.3352513,3
179582602892306,0.008347473,-0.0694114,0.042492397,11.7750435,1.1157321,3.7542229,3
179582622892306,-0.017308867,0.15538701,-0.10778046,3.9697077,0.73743665,-1.8100717,3
179582642892306,-0.0075350227,-0.20013656,0.12068315,16.118258,-1.4126221,-3.8954852,3
179582662892306,0.016899588,0.2152518,0.014392597,9.505271,3.1987512,1.5969813,3
179582682892306,-0.046019536,0.04726387,-0.06807421,9.694419,-2.657645,-4.233078,2
179582702892306,0.02789516,-0.04925284,0.15183727,10.360027,1.3024855,3.9170337,2
179582722892306,-0.04785213,0.24335161,-0.14626497,7.0726876,-0.6081458,-2.0183737,2
179582742892306,0.016288722,-0.13355225,0.14878294,14.030451,1.4174107,-1.6975409,2
179582762892306,-0.04052175,0.23418863,-0.17436476,11.700821,1.9106313,-0.37111259,2
179582782892306,0.0034605516,-0.12622187,0.15183727,11.32492,-2.638491,-2.2147043,2
179582802892306,-0.0014263703,0.101630874,0.060818356,8.684034,1.1133378,1.5610672,2
179582822892306,-0.03502396,0.04726387,-0.12732814,9.912297,-0.5554718,-0.49800915,2
179582842892606,-0.030137038,-0.029705154,-0.005765957,12.641771,0.3040729,2.5139885,2
179582862892606,0.016288722,0.24946027,0.063261814,4.9010806,1.0439038,-2.1237218,2
179582882892606,-0.07411933,-0.046809383,-0.15542795,13.412727,-1.8579572,-2.8946784,2
179582902892606,0.05232977,0.033213966,0.24163446,11.9953165,2.6624336,3.581835,2
179582922892606,-0.08572578,0.104685195,-0.2763793,8.877971,-0.37590113,-3.476487,2
179582942892306,0.012623531,-0.23678847,0.14145257,10.259467,-1.8603516,1.9633054,2
179582962892306,-0.012421944,0.38079628,0.03271855,6.591439,2.19555,-0.4860378,2
179582982892306,-0.060680296,-0.21907339,-0.25927502,10.7048025,0.23463893,2.597788,2
179583002892306,-0.02830444,0.09796568,0.093805075,12.653743,-1.8962656,-0.35674694,2
179583022892306,0.05416237,0.08269405,0.2514083,9.033599,-0.17717634,1.9369683,2
179583042892306,-0.099164814,-0.20868868,-0.32402676,6.1820173,2.3870919,2.2554069,2
179583062892306,-0.03502396,0.11506991,-0.09128709,19.384048,-1.0295382,0.6751855,2
179583082892306,0.06454708,-0.023596503,0.40168115,5.6840086,1.8004947,-1.2162915,2
179583102892306,-0.15353182,-0.004048815,-0.47368872,8.913885,0.51716334,0.12450229,2
179583122892306,0.06271448,-0.037646405,0.30272096,14.346495,-1.9680939,2.569057,2
179583142892306,-0.03441309,-0.013822659,0.057764027,6.651295,2.8156672,-5.5786605,2
179583162892306,-0.06678895,-0.24411885,-0.24950118,11.3344965,0.22985038,2.5762396,2
179583182892306,-0.024028385,0.18531941,0.112741895,13.814965,-1.620924,-5.968927,2
179583202892306,0.05966015,-0.22640376,0.2672908,5.748654,3.1245286,4.0343533,2
179583222892306,-0.18651854,0.20975403,-0.56592935,11.578713,-2.0255566,-4.0319586,2
179583242892306,0.13846178,-0.23067982,0.60693187,13.237946,-0.1987248,1.0846065,2
179583262892306,-0.09977567,0.24640593,-0.20246457,5.116565,3.1867797,-4.678413,2
179583282892306,-0.04235434,-0.1555434,-0.21956879,15.007315,-1.8411974,1.8579572,2
179583302892306,0.017510451,0.21830614,0.31616002,9.126976,1.1731946,-1.4844503,2
179583322892306,-0.0063132923,-0.14332609,-0.06807421,10.163696,2.2889266,4.37434,2
179583342892606,-0.11199298,0.05153992,-0.2702706,14.066364,-3.007209,-1.4652961,2
179583362892606,0.11647062,-0.07490918,0.53912586,12.29939,1.8771114,1.1348863,2
179583382892606,-0.10160827,0.16149567,-0.30447906,9.984126,1.0726352,1.8842943,2
179583402892606,-0.03441309,-0.08101784,-0.12488468,9.766247,-2.6815877,1.3360053,2
179583422892606,0.04866458,0.13889365,0.36502925,10.38397,1.812466,0.45491222,2
179583442892306,-0.04113261,-0.07124399,-0.15298449,7.3480296,1.7478206,3.1221344,2
179583462892306,-0.09977567,-0.042533327,-0.28676397,16.463034,-4.7095385,-2.4613144,2
179583482892306,0.15678774,-0.058415823,0.76636773,8.296163,3.8859081,3.737463,2
179583502892306,-0.1486449,0.2066997,-0.5763141,8.066312,0.45730647,-2.9497466,2
179583522892306,-0.0044806967,-0.17203675,-0.043028735,11.911517,-2.9377751,0.8667275,2
179583542892306,0.05782756,0.28000352,0.39312905,5.33205,1.3623424,0.81165916,2
179583562892306,-0.046019536,-0.093235135,-0.21101668,9.761458,0.45970076,1.6688095,2
179583582892306,-0.079006255,0.031992234,-0.23239696,12.991335,-2.2937152,-2.8539755,2
179583602892306,0.1396835,-0.00038362335,0.561117,6.629747,2.7653873,1.2569942,2
179583622892306,-0.1486449,0.11201558,-0.49323642,11.552376,-0.5506832,-1.6568382,2
179583642892306,0.046831984,-0.15676512,0.13106786,9.0288105,0.3615355,1.9561225,2
179583662892306,-0.008145888,0.29894033,0.068759605,7.580274,-0.4764607,-3.7829542,2
179583682892306,-0.005091562,-0.1873084,-0.017983261,9.91948,2.482863,5.0806513,2
179583702892306,-0.07534106,0.24029729,-0.25255552,9.395134,-2.5139885,-4.0559015,2
179583722892306,0.082262166,-0.15432167,0.34303808,10.245102,2.4517374,1.0558752,2
