Timestamp[nanosec], gx[rad/s], gy[rad/s], gz[rad/s], ax[m/s^2], ay[m/s^2], az[m/s^2]
257789091727348,0.0010299188,-0.055996187,0.12275093,8.583475,0.44533512,-3.78056
257789111727348,-0.0063004643,-0.23314711,-0.05989778,6.699181,-0.87630457,0.05027977
257789131727348,-0.008133059,0.16880223,0.12824872,13.98496,3.7661943,-0.86912173
257789151727348,-0.023404691,0.019751105,-0.04829134,11.463788,-4.767001,-2.0399222
257789171727648,-0.0026352727,-0.16595194,-0.026300192,8.727132,1.6951466,-2.1476645
257789191727648,0.0382927,0.040520523,0.18750264,10.510866,1.8771114,-2.6337023
257789211727648,0.043790486,-0.04011369,-0.08127806,9.289786,-0.0670397,-1.7550035
257789231727648,0.04195789,0.019140242,0.09587286,10.656918,1.0965779,-0.37111259
257789251727648,0.029129721,-0.076765604,-0.111210465,7.850827,-1.350371,-2.4349775
257789271727348,0.047455676,-0.05660705,0.17650707,7.3743663,2.1189332,-2.116539
257789291727348,0.04684481,-0.08043079,-0.13381247,9.93624,1.1253091,-1.376708
257789311727348,0.0663925,-0.068213485,0.12214006,6.368771,-3.0718546,-2.7941186
257789331727348,0.08410759,-0.08348512,0.042116713,6.368771,-3.0718546,-2.7941186
257789351727348,0.086551055,-0.06638089,-0.0666173,7.9394155,3.050306,-1.1636176
257789371727348,0.096935764,-0.09509156,0.12824872,13.872428,-2.423006,-1.8723229
257789391727348,0.06700336,-0.1366304,-0.073947676,10.73114,3.2346652,-0.55786604
257789411727348,0.069446824,0.0374662,-6.43852E-4,7.4653487,0.035914123,-0.6296943
257789431727348,0.10060095,-0.13968472,0.06044267,10.642551,0.57462597,-3.3735332
257789451727348,0.09876835,-0.20260383,-0.11182132,4.11097,4.869955,-3.0622776
257789471727348,0.11281826,0.04357485,0.08243382,8.317711,-4.802915,0.09577099
257789491727348,0.120148644,-0.0010183123,-0.0067525045,10.41749,3.0024207,-1.8148603
257789511727348,0.11892691,-0.24780788,-0.038517497,11.382382,6.2873654,-1.7382435
257789531727348,0.11037479,-0.005294369,-0.038517497,11.736735,-3.1987512,-0.22985038
257789551727348,0.11342912,0.038077064,0.05677748,7.3839436,0.73743665,-2.8467927
257789571727348,0.12137037,-0.17572577,-0.075169414,10.326508,3.4549387,-5.276982
257789591727348,0.12931162,-0.060883105,-0.044626147,10.783813,-1.4772675,-3.3424077
257789611727348,0.136642,-0.024842056,0.06044267,8.135746,1.297697,-1.9537282
257789631727348,0.117094316,-0.012013886,-0.0947171,11.715187,5.296136,-1.7693691
257789651727348,0.123202965,-0.13418694,-0.060508642,10.795785,-3.301705,-2.2266755
257789671727648,0.12931162,0.031357545,0.02989941,9.184438,4.1085753,-3.7709827
257789691727648,0.1085422,-0.06332657,-0.15030584,11.5308275,1.7454263,-2.8611584
257789711727648,0.10915307,-0.04133542,-0.022024136,6.6153812,-2.4852571,-3.5363438
257789731727648,0.117094316,-0.025452923,-0.03973923,8.073495,5.174028,-0.7326481
257789751727781,0.096935764,0.03319014,-0.13931026,8.794171,0.6560313,-3.0263634
257789771727481,0.0944923,-0.105476275,-0.04706961,8.846846,0.8667275,-3.5602865
257789791727481,0.08777278,0.060068212,-0.0806672,13.446247,2.3823035,0.6895511
257789811727481,0.0944923,0.0020360139,-0.06783903,8.526012,2.7246847,-3.3136764
257789831727481,0.08716192,-0.058439642,-0.076391146,9.991309,0.15323359,-1.333611
257789851727481,0.09143797,0.0014251486,-0.016526349,9.58907,2.6360965,-1.1492519
257789871727481,0.08777278,-0.04622234,-0.0702825,6.2969427,4.4222255,-2.3846977
257789891727481,0.07005769,0.0026468793,-0.0666173,12.818948,-4.14449,-3.799714
257789911727481,0.06394904,-0.08287425,0.028066814,8.672064,6.881146,-1.8076775
257789931727481,0.045623083,-0.017511675,-0.16069055,12.320938,-2.8276386,-0.083799616
257789951727481,0.057229523,0.011809858,0.04394931,12.644165,2.7414446,-1.5754328
257789971727481,0.053564332,-0.044389743,-0.10388008,9.5244255,1.6927522,-3.5794408
257789991727481,0.043790486,-0.026674652,-0.05195653,11.396749,-1.5778271,-3.6656346
257790011727481,0.0364601,0.052126966,-0.025689328,7.692805,0.5985687,-3.0263634
257790031727481,0.012636358,-0.073711276,-0.1350342,11.648147,2.004008,-2.456526
257790051727481,-1.9181168E-4,-0.012013886,-0.03179798,12.780639,2.5738454,-0.6703969
257790071727481,-0.01607431,0.0796159,-0.17168613,8.083072,0.49800915,-1.6089526
257790091727481,0.012025493,-0.04927667,-0.012250292,8.743892,3.7015488,-2.1476645
257790111727481,0.013247224,-0.036448497,-0.054399993,9.668081,-1.132492,-2.1069617
257790131727481,0.012636358,0.10282878,-0.036074035,8.74868,5.6672482,-1.5538844
257790151727481,0.0046951105,-0.08592858,-0.026300192,10.381576,-4.9441776,-2.0183737
257790171727781,-0.019128634,-0.072489545,0.045781907,6.1724405,4.5084195,-2.803696
257790191727781,-0.028291613,0.060068212,-0.073947676,11.710398,-0.18196489,-1.9920366
257790211727781,-0.012409117,-0.072489545,0.054944884,14.739156,2.6720107,-2.4254005
257790231727781,-0.008133059,-0.11830444,0.07327084,14.739156,2.6720107,-2.4254005
257790251727781,-0.013019982,0.059457347,-0.044626147,13.738349,-3.222694,-3.6201434
257790271727481,0.0040842453,-0.026063787,0.15268332,9.648928,2.9760835,-1.673598
257790291727481,-0.028902477,-0.09509156,-0.05501086,7.570697,-0.37111259,-1.0750294
257790311727481,-0.048450164,0.06800946,0.04883623,14.947457,-1.6400782,-3.2873392
257790331727481,-0.052726224,-0.11586098,0.06655132,7.735902,7.2163444,-2.5283542
257790351727347,-0.069830455,0.046629176,-0.15152757,10.101445,-1.5323359,-1.2186859
257790371727347,-0.035621993,0.05518129,0.2198785,10.987327,-3.0981915,-2.7725701
257790391727347,-0.042952377,-0.14334992,-0.0067525045,2.7366562,5.0854397,-2.073442
257790411727347,-0.04173065,0.049683504,-0.025078462,8.090255,0.102953814,-2.8156672
257790431727347,-0.047839303,-0.023620326,0.14657468,13.738349,-2.8396099,-3.0119977
257790451727347,-0.07410651,-0.09325896,0.036008064,7.537177,4.8747435,-1.3982565
257790471727347,-0.083269484,0.055792157,-0.03912836,8.322499,-0.7877164,-3.0335462
257790491727347,-0.055169687,0.057624754,0.12641612,13.137386,-1.1995317,-3.5698638
257790511727347,-0.05944574,-0.11952617,0.015238645,6.9457912,4.271386,-1.3838909
257790531694313,-0.071663044,0.0038686097,0.040894985,6.9457912,4.271386,-1.3838909
257790551660979,-0.067386985,0.107715696,0.10014891,7.953781,3.9744961,-3.962525
257790571627645,-0.06799786,-0.11830444,-0.020802405,6.5555243,2.0327394,-2.5929997
257790591594311,-0.07349564,-0.007126965,0.07388171,11.772649,-3.172414,-2.8180614
257790611560977,-0.071663044,0.060679078,0.09648372,8.712766,1.8435916,-2.3535721
257790631527643,-0.07349564,0.061289944,0.08365555,6.754249,3.213117,-2.0423164
257790651494309,-0.08754554,-0.002240043,0.015238645,13.3959675,-2.9473522,-4.577853
257790671460975,-0.0918216,-0.057217915,-0.038517497,8.849239,0.009577099,-3.5219781
257790691427641,-0.077160835,0.11687868,0.09220766,7.5898514,1.1540405,-2.6504622
257790711394307,-0.083269484,0.013642454,-0.0684499,8.265037,-0.9984126,-3.3615618
257790731360973,-0.084491216,0.02708149,0.031121142,8.640938,-0.011971374,-3.8715425
257790751327639,-0.08388035,0.052126966,-0.0012547172,12.146156,-0.9194015,-3.5339496
257790771294005,-0.09243246,0.107715696,-0.014082887,6.3352513,1.8914771,-1.9417568
257790791260671,-0.099151984,0.07411811,-0.018358944,6.751855,0.023942748,-4.1373067
257790811227337,-0.077160835,0.038077064,0.006075666,10.139753,-0.7015225,-2.063865
257790831194003,-0.06555439,0.10221791,0.044560175,7.3743663,0.82602483,-2.1644244
257790851160669,-0.060056604,0.09000061,0.050057963,8.772623,1.0750294,-3.1604428
257790871127335,-0.0637218,0.0356336,0.017682105,8.336864,-1.0870007,-2.2458298
257790891094301,-0.060056604,0.10832657,0.06777306,9.150918,0.10055954,-2.4254005
257790911060967,-0.05578055,0.09916359,0.06594046,7.5515428,1.4365649,-2.482863
257790931027633,-0.054558817,0.09061147,0.04394931,7.80773,-1.472479,-2.954535
257790950994299,-0.042952377,0.088778876,0.075714305,10.661706,-0.25858167,-2.0255566
257790970960965,-0.03684373,0.115046084,0.07082739,9.138947,0.55307746,-2.5020173
257790990927631,-0.033178534,0.100385316,0.05799921,10.632975,-0.22506183,-2.4469488
257791010894297,-0.028291613,0.15047628,0.05066883,11.403931,-1.1444633,-1.462902
257791030861297,-0.02462642,0.18957163,0.06838392,9.387952,1.7981004,-2.6001825
257791050827963,-0.018517768,0.057013884,0.035397198,10.599455,0.03351985,-2.9808722
